,Sample,,D ( × 10 - 10 m 2 s - 1 ),R
0,Homo PS ( ∼ 10kDa),,1.52,0.9997
1,Homo PEO ( ∼ 2kDa),,3.32,0.9999
2,PS- b -PEO (pure sample),PS block signal,1.31,0.9992
3,PS- b -PEO (pure sample),PEO block signal,1.31,0.9990
4,PS- b -PEO (in a mixture,PS block signal,1.31,0.9995
5,with the PEO initiator),PEO block signal,2.61,0.9984
6,with the PEO initiator),PEO block signal,3.21 (80%);1.32 (20%),0.9999
