,M w reference (SEC).M w reference (SEC),NMR 1 HLarmor frequency.NMR 1 HLarmor frequency,Copolymer.M w,Copolymer.M n,Copolymer.Ð,PS-equivalent.M w,PS-equivalent.M n,PS-equivalent.Ð,PMMA-equivalent.M w,PMMA-equivalent.M n,PMMA-equivalent.Ð
0,50,700 MHz,45,42,1.05,42,40,1.06,47,45,1.03
1,,90 MHz,49,48,1.02,48,46,1.03,51,50,1.02
2,81,700 MHz,89,81,1.10,86,75,1.15,92,86,1.07
3,,90 MHz,93,90,1.04,89,84,1.06,96,93,1.03
4,84,700 MHz,85,79,1.07,83,77,1.07,88,83,1.06
5,,90 MHz,91,88,1.03,82,80,1.02,100,97,1.03
6,108,700 MHz,102,94,1.08,105,97,1.08,100,91,1.10
7,,90 MHz,104,100,1.04,100,97,1.03,107,101,1.06
