,Copolymer,M w copolymer [g mol - 1 ] (DOSY),M w homopolymer [g mol - 1 ] (DOSY),X wt homopolymer [rel. wt%] (DOSY),M w copolymer [g mol - 1 ] (SEC-NMR),M w homopolymer [g mol - 1 ] (SEC-NMR),X wt homopolymer [rel. wt%] (SEC-NMR)
0,PI-b-PMMA IM2,61 470,21 790,0.229,64 200 a),27 600 a),0.293 a)
1,PS-b-PMMA SM6,138 930,58 920,0.207,164 100,75 900,0.253
