,samples,M w (GPC) (g/mol),D (10 - 11 ),av M w (DOSY) (g/mol),di ff (%),PDI
0,PS,9000,15.02 ± 0.03,9100,1.1,1.06
1,PS,30000,8.08 ± 0.01,29000,- 3.3,1.06
2,PS,60000,5.40 ± 0.02,61000,1.7,1.04
3,PS,80000,4.69 ± 0.02,80000,0.0,1.07
4,PS,156000,3.31 ± 0.03,153000,- 1.9,1.06
5,PS,200000,3.00 ± 0.03,183000,- 8.5,1.06
6,BEN,78,200.0,73,- 6.4,
