,Molecular weight.,D 0 (10 - 10 m 2 /s).,C s (10 - 3 g/mL).,C * (g/mL).,R H ( Ǻ ).Calculated by extrapolate,R H ( Ǻ ).Calculated by our method,R H ( Ǻ ).Error (%)
0,"1,500",2.21,4.49,0.11,8.94,9.89,9.61
1,"2,000",1.84,4.08,0.09,11.52,11.84,5.56
2,"4,000",1.26,3.92,0.05,15.14,17.27,12.33
3,"6,000",1.01,3.63,0.04,18.79,21.66,13.25
