,"Table 4. Copolymer Block Size ( M w PEO and M w PS ) Calculated Using the Copolymer Self-Diffusion Coefficients, As Measured by PGSE and the Oblate Ellipsoidal Hydrodynamic Model a.no.","Table 4. Copolymer Block Size ( M w PEO and M w PS ) Calculated Using the Copolymer Self-Diffusion Coefficients, As Measured by PGSE and the Oblate Ellipsoidal Hydrodynamic Model a.M w PEO (g mol - 1","Table 4. Copolymer Block Size ( M w PEO and M w PS ) Calculated Using the Copolymer Self-Diffusion Coefficients, As Measured by PGSE and the Oblate Ellipsoidal Hydrodynamic Model a.dev. (%) b","Table 4. Copolymer Block Size ( M w PEO and M w PS ) Calculated Using the Copolymer Self-Diffusion Coefficients, As Measured by PGSE and the Oblate Ellipsoidal Hydrodynamic Model a.M w PS (g mol - 1 )","Table 4. Copolymer Block Size ( M w PEO and M w PS ) Calculated Using the Copolymer Self-Diffusion Coefficients, As Measured by PGSE and the Oblate Ellipsoidal Hydrodynamic Model a.dev. (%) b"
0,A1,2562,+ 37,6012,+ 12
1,A2,2011,+ 5,13284,- 14
2,A3,1799,- 4,15514,- 8
3,A4,1782,- 5,19432,- 10
4,B1,4304,- 14,3710,- 7
5,B2,4873,- 5,5259,+ 21
6,B3,4887,- 5,9506,+ 5
7,B4,5106,+ 2,14267,- 3
8,B5,4235,- 16,19208,- 15
