,sample no.,MALDI MS.M n PEO (g mol - 1 ),MALDI MS.M n PS (g mol - 1 ),MALDI MS.M n T (g mol - 1 ) a,MALDI MS.M w PEO (g mol - 1 ),MALDI MS.M w PS (g mol - 1 ),MALDI MS.M w T (g mol - 1 ) a,1 H NMR.M n PEO (g mol - 1 ) b,1 H NMR.M n PS (g mol - 1 ) c,1 H NMR.M n T (g mol - 1 ) a
0,A1,1835,4815,7117,1873,5385,7725,1910,4960,7337
1,A2,1859,14563,16889,1909,15360,17736,1950,13539,15956
2,A3,1829,16062,18358,1872,16921,19260,1980,17594,20041
3,A4,1826,20571,22864,1868,21647,23982,1910,21375,23752
4,B1,4967,3699,9133,4994,3983,9444,4770,3700,8937
5,B2,4981,4250,9698,5104,4332,9903,4660,4960,10087
6,B3,4959,9016,14442,5138,9080,14685,4540,9200,14207
7,B4,4962,13243,18672,5022,14694,20183,4620,13350,18437
8,B5,4969,21697,27133,5017,22715,28199,4610,21300,26377
