,entry,R,DP 5(I - VIII),Isolated yield of 1(I - VIII) (%),GPC MW of 1 [g mol - 1 ].M n,GPC MW of 1 [g mol - 1 ].M w,D ̵ M ( M w / M n )
0,I,methyl,4.5,10,1000,1700,1.8
1,II,ethyl,4.9,10,1300,2700,2.1
2,III,butyl,4.7,16,1200,2800,2.3
3,IV,pentyl,5.1,26,1400,3600,2.6
4,V,octyl,6.2,33,2100,8000,3.8
5,VI,decyl,4.7,24,2200,8700,3.9
6,VII,dodecyl,5.1,14,1800,4400,2.5
7,VIII,t Bu,2.2,4,1000,1400,1.4
