,Copolymer- M w [g mol - 1 ]SEC-NMR.Copolymer- M w [g mol - 1 ]SEC-NMR,D copol [ × 10 - 10 m 2 s - 1 ] (DOSY) Exponential fit.D copol [ × 10 - 10 m 2 s - 1 ] (DOSY) Exponential fit,D homopol [ × 10 - 10 m 2 s - 1 ] (DOSY) Biexponential fit.D homopol [ × 10 - 10 m 2 s - 1 ] (DOSY) Biexponential fit,M w copol [g mol - 1 ] (DOSY) M w homopol [g mol - 1 ] (DOSY).Exponential fit,M w copol [g mol - 1 ] (DOSY) M w homopol [g mol - 1 ] (DOSY).Biexponential fit,X wt copol (DOSY) Biexponential fit.X wt copol (DOSY) Biexponential fit,X wt homopol (DOSY) Biexponential fit.X wt homopol (DOSY) Biexponential fit
0,SM1-48900,0.735,1.554,49 900,15 680,0.885,0.115
1,SM2-87200,0.447,0.886,86 290,38 350,0.854,0.146
2,SM3-85700,0.445,0.703,86 790,49 600,0.835,0.165
3,SM4-105400 a),0.372,0.665,105 600,52 780,0.683,0.317
4,SM5-147300,0.299,0.562,134 410,63 590,0.800,0.200
5,SM6-155400 a),0.290,0.602,138 930,58 920,0.793,0.207
6,IM1-5430,2.612,4.126,6330,2700,0.738,0.262
7,IM2-56500,0.608,1.225,61 470,21 790,0.771,0.229
8,IM3-118300,0.400,2.882,97 460,5010,0.903,0.097
