,Samples,273 K,283 K,293 K,303 K,313 K,323 K,333 K,343 K
0,PS1200,900,900,900,900,900,800,800,800
1,PS3200,1000,1000,1000,1000,1000,1000,1000,1000
2,PS9k,1600,1600,2000,1600,1600,1600,1600,1400
3,PS18k,1600,1600,2000,1800,1800,1800,1600,1600
4,PS33k,1600,1600,2000,2000,2000,1800,1600,1600
5,PS62k,1600,2000,2000,2000,2000,1800,1800,1600
6,PS120k,2000,2200,2200,2200,2200,2000,2000,2000
7,PS280k,2200,2200,2200,2200,2200,2200,2200,2200
