,,T2,T3,G5m,dimer,trimer,tetramer,G3c,G5c
0,D (m/S 2 ) × 10 - 11,14.4,10.4,7.49 ± 0.12,5.681,5.19,4.99,13.6 ± 0.06,8.21 ± 0.25
1,R (nm),1.6,2.2,3.1 ± 0.1,4.0,4.4,4.6,1.7 ± >0.01,2.8 ± 0.1
