,,,pH 3,pH 5,pH 7,pH 9,pH 11,D 2 O
0,G5c,D (m/s 2 ) × 10 - 11,7.41,7.43,7.77,7.69,8.17,8.21 ± 0.25
1,,R H (nm),3.1,3.1,2.9,3.0,2.8,2.8 ± 0.1
2,G5m,D (m/s 2 ) × 10 - 11,7.16,7.34,7.50,7.54,7.48,7.49 ± 0.12
3,,R H (nm),3.2,3.1,3.1,3.0,3.1,3.1 ± 0.1
