,0,1,2,3,4
0,sample,theoretical MW,M n,M w,PDI
1,G5c,28 826,28 270,30 820,1.09
2,T2,3256,4755,7415,1.56
3,T3,6909,6260,6890,1.05
4,G5m,28 826,25 130,27 140,1.08
5,dimer,57 652,45 140,46 020,1.02
6,trimer,86 478,61 330,63 910,1.04
7,tetramer,115 304,72 400,75 950,1.05
