,t (min),M w (GPC) (g/mol),D (10 - 10 ),av M w (DOSY) (g/mol),di ff (%),conv (%),PDI
0,230,2900,2.60 ± 0.06,3300,13.8,18.7,1.04
1,590,6200,1.80 ± 0.04,6600,6.4,46.0,1.04
2,1345,9700,1.41 ± 0.02,10300,6.2,49.4,1.06
3,1760,10600,1.36 ± 0.03,11000,3.8,53.9,1.06
