,Molar ratio of diol:B(OH) 4 § [diol:0.5B(OH) 4 §,G 0 max (Pa),"N E,exp (mol/l)",x c (rad/s)
0,5.50:1 (2.75:1),3.09  10 5,0.1255,2.84
1,7.00:1 (3.50:1),2.30  10 5,0.0974,2.45
