,Homopolymer,a (Lower M w ),b (Lower M w ),a (Higher M w ),b (Higher M w )
0,PS,3.23 × 10 - 8,- 0.553,1.17 × 10 - 6,- 0.899
1,PMMA,2.85 × 10 - 8,- 0.536,1.34 × 10 - 6,- 0.907
2,PI,4.09 × 10 - 8,- 0.582,7.95 × 10 - 6,- 1.081
