,"D , 10 -10 m 2 /s.","MW,kDA*.HES","MW,kDA*.dextran","MW,kDA*.pullulan","D , 10 -10 m 2 /s.D , 10 -10 m 2 /s","MW,kDA.HES","MW,kDA.dextran","MW,kDA.pullulan"
0,1,9.03,8.30,9.49,0.6,33.02,25.08,23.80
1,0.9,11.80,10.43,11.46,0.5,52.45,37.21,33.06
2,0.8,15.91,13.46,14.18,0.4,92.41,60.31,49.41
3,0.7,22.33,17.97,18.03,0.3,191.79,112.41,82.95
