,Sample,M p,M w,M n,Sample,M p,M w,M n
0,HETA 6,5.5,6.0,4.0,HETA 9,8.9,9.4,5.6
1,HETA 18,16.1,18.3,13.0,HETA 60,52.8,59.7,38.1
2,HETA 88,80.0,88.0,55.1,HETA 130,121.1,130.6,78.4
3,HETA 160,153.6,159.2,85.9,HETA 175,176.1,206.5,88.9
4,HETA 230,201.0,229.0,113.8,HETA 250,219.3,250.4,130.5
5,HETA 337,374.0,337.6,162.6,HETA 380,330.2,379.8,178.6
6,HETA 460,396.9,459.4,188.5,HETA 600,468.7,608.1,288.0
7,HETA 1300,1004.0,1312.0,690.3,,,,
