,0,1,2,3,4,5
0,solvent,T ( ° C),10 2 η (P),σ / b,σ (Å),c β
1,n -C 6,25.0,0.300,0.464,0.710,
2,n -C 7,25.0,0.385,0.429,0.656,
3,n -C 8,25.0,0.508,0.380,0.581,
4,n -C 10,25.0,0.838,0.274,0.419,
5,n -C 12,25.0,1.38,0.196,0.300,
6,n -C 14,25.0,2.09,0.163,0.249,
7,n -C 16,25.0,3.03,0.135,0.207,
8,toluene,27.0,0.535,0.422,0.646,
9,benzene,22.2,0.632,0.407,0.623,0.213
10,tetralin,22.2,2.10,0.222,0.340,0.121
11,decalin,22.2,2.64,0.196,0.300,0.099
12,CCl 4,25.0,0.894,0.432,0.661,0.225
