,solvent,i for 1-C i Ph solutes,T ( ° C)
0,n -C 9,"17, 14, 11, 8, 5",24.0
1,n -C 10,"17, 14, 11, 8, 5",23.5
2,n -C 12,"17, 14, 11, 8, 5",20.5
3,n -C 15,"17, 14, 13, 12, 11, 9, 8, 7, 6, 5",24.5
4,n -C 16,"17, 14, 11, 8, 5",25.0
5,HPMN,"17, 14, 11, 8, 5",21.0
6,pristane,"17, 14, 11, 8, 5",25.5
7,squalane,"17, 14, 13, 12, 11, 9, 8, 7, 6, 5",23.0
