,sample,MW (D),D a (cm 2 sec -1 ),R Stokes (Å) b,V Stokes (Å 3 ) c,ρ Stokes (D/Å 3 ) d,GRI e (Å)
0,THF,,,,,,
1,G0Py,309,13 x 10 -6,3.7,210,1.47,-
2,G1Py,521,9.7 x 10 -6,4.9,490,1.06,1.2
3,G2Py,945,7.8 x 10 -6,6.1,950,0.99,1.2
4,G3Py,"1,795",4.8 x 10 -6,10,4200,0.43,3.9
5,G4Py,3492,3.4 x 10 -6,14,"11,500",0.30,4.0
6,CH 3 CN,,,,,,
7,G0Py,309,18 x 10 -6,3.3,150,2.06,-
8,G1Py,521,14 x 10 -6,4.1,289,1.80,0.8
9,G2Py,945,12 x 10 -6,4.9,490,1.92,0.8
10,G3Py,"1,795",11 x 10 -6,5.4,660,2.72,0.5
