,"M p , (M w /M n ) a (D)","D b , r 2 (cm 2 sec -1 )",R Stokes c (Å) b,V Stokes d (Å 3 ) c,ρ Stokes e (D/Å 3 ) d
0,"580, (1.18)","7.3 x 10 -6 , 0.99",6.6,"1,200",0.48
1,"2960, (1.06)","4.9 x 10 -6 , 0.99",9.8,3900,0.75
2,"11300, (1.04)","3.4 x 10 -6 , 0.99",14,"14,000",0.81
3,"39000, (1.03)","2.1 x 10 -6 , 0.93",23,"51,000",0.76
4,"370000, (1.04)","6.1 x 10 -7 , 0.90",78,"2,000,000",0.18
