,Author,"O/""C",If. 1(10- 3 mL/g),MWrange,ofsamples,Ref.
0,cis-Decalin Berry trans-Decalin,12.2,8204,19 000-4.4X 10 6,~,13
1,Fukuda et al.,2004,80.S,310 000-9.7X 10 6,,2
