,0,1,2,3,4,5,6
0,BD/ms,95.13,94.33,95.4,95.4,75.93,-
1,LD/ms,3.8,4.6,3.6,3.6,3.0,-
2,BD/ms,94.33,93.27,94.6,94.6,75.4,-
3,LD/ms,4.2,5.2,4.0,4.0,-,-
4,BD/ms,113.8,112.47,94.07,114.07,-,-
5,LD/ms,5.6,5.6,5.6,5.6,-,-
6,BD/ms,141.93,241.93,91.93,141.93,-,-
7,LD/ms,5.6,5.6,5.6,5.6,-,-
8,BD/ms,291.93,341.93,161.93,191.93,-,-
9,LD/ms,5.6,5.6,5.6,5.6,-,-
10,BD/ms,291.93,491.93,241.93,291.93,-,-
11,LD/ms,5.6,5.6,5.6,5.6,-,-
12,BD/ms,491.93,641.93,441.93,491.93,-,-
