,0,1,2,3,4
0,peo2,3450,3450,3340,1.03
1,peo3,6530,6200,5860,1.06
2,peo4,12600,11400,10300,1.11
3,peo5,26100,25800,22100,1.17
4,peo6,42700,40100,30700,1.31
5,peo7,99000,103000,91800,1.12
6,peo8,217000,220000,196000,1.12
7,peo9,504000,504000,461000,1.09
8,peo10,1180000,1200000,1110000,1.08
