solvent,polymer,c_value,v_value,source_paper,table_name
dichloromethane,polystyrene,-7.406713932979542,0.56162,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
toluene-d8,polystyrene,-7.670073559204548,0.53106,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
acetone,polystyrene,-7.679147780168245,0.45209,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
tetrahydrofuran-d8,poly(methyl methacrylate),-7.434234799547848,0.5624,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
benzene-d6,poly(methyl methacrylate),-7.528356300958614,0.56913,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
chloroform-d,poly(methyl methacrylate),-7.416619835412931,0.58372,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
dichloromethane,poly(methyl methacrylate),-7.285687008705199,0.58736,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
dimethyl sulfoxide-d6,poly(methyl methacrylate),-8.505775813083098,0.44424,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
tetrahydrofuran-d8,polyimide,-7.330497165895657,0.60811,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
benzene-d6,polyimide,-7.388584736177106,0.61614,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
chloroform-d,polyimide,-7.298285260295005,0.62721,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
dichloromethane,polyimide,-7.380124391499957,0.57317,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
tetrahydrofuran-d8,poly(2-vinylpyridine),-7.739952475004678,0.5049,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
benzene-d6,poly(2-vinylpyridine),-7.903646240006705,0.48883,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
chloroform-d,poly(2-vinylpyridine),-7.577590743390301,0.48883,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
dichloromethane,poly(2-vinylpyridine),-7.9471137647436185,0.53396,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table8
tetrahydrofuran-d8,polyethylene oxide,-7.478914244084677,0.58062,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table9
acetonitrile-d3,polyethylene oxide,-7.281913705216908,0.59613,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table9
deuterium oxide,polyethylene oxide,-7.877194537152556,0.5723,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table9
methanol-d4,polyethylene oxide,-7.591607379866639,0.57021,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table9
acetone,polyethylene oxide,-7.6735002852749625,0.47448,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table9
benzene-d6,poly(methyl methacrylate),-7.696566333993796,0.52734,2024 - Molar Mass Determination for Small and Large Molecules Using Diffusion-Ordered Spectroscopy - SI,table10
