,,δ Val,δ Val mixed with β CD,Δ δ Val/CD,δ Val mixed with β CDNP 2.7,Δ δ Val/CDNP
0,H-5,6.907,6.949,0.042,7.013,0.106
1,H-2,7.347,7.324,- 0.022,7.346,- 0.001
2,H-6,7.388,7.411,0.023,7.416,0.028
3,H-1,9.543,9.555,0.013,9.604,0.061
