,PAMAM_E5.NH 2,,,PAMAM_E5.SAH,Numbers in Scheme 1,Note
0,2.48,"2,6,10,14,18,22",J ¼ 6.8 Hz (br),2.42,25 - 26,Singlet
1,2.67,"4,8,12,16,20",J  6.4 Hz (br),2.72,"2,6,10,14,18,22",Broad
2,2.77,24,J ¼ 6.2 Hz,3.28,23 - 24,Singlet
3,2.87,"1,5,9,13,17,21",J ¼ 6.8 Hz (br), 3.28,"3,7,11,15,19",Broad
4,3.29,23,J ¼ 6.2 Hz,3.42,"1,5,9,13,17,21",Broad
5,3.34,"3,7,11,15,19",J  6.4 Hz (br),3.6,"4,8,12,16,20",Broad
