,MW [a] PS (Da),d1 (s),τ E ( μ s),n,wt%
0,"30,300",2,100,120,5
1,"68,900",5,150,220,7.5
2,"220,500",8,200,320,10
3,"629,500",10,250,420,
4,,15,300,520,
5,,20,350,620,
6,,,400,,
7,,,450,,
8,,,500,,
9,,,550,,
10,,,600,,
11,,,640,,
