,1 Hppm,Position,13 C ppm
0,1.710; 1.768,1,33.83
1,-,2,135.80
2,5.314,3,124.07
3,1.782; 1.870,4,28.67
4,1.093,5,44.42
5,-,6,-
6,1.180,7,25.03
7,0.922; 0.912,8,21.20
8,0.859; 0.850; 0.849; 0.838; 0.834,9,18.49
9,1.837; 1.800,10,44.02
