,1 Hppm,Position,13 C ppm
0,2.037; 2.068,1,33.50
1,-,2,136.14
2,5.377,3,125.61
3,1.846; 2.048,4,27.48
4,1.333,5,43.99
5,-,6,36.35
6,1.178; 1.802,7,25.03
7,0.825,8,27.43
8,0.862,9,25.60
9,1.913,10,47.88
