,Malbec batch,PDMS (  = 0.285 ppm) D (m 2 s -1 ) [ R H (nm)],TMS (  = 0.0 ppm) D (m 2 s -1 ) R H (nm) Ref. value= 0.25 nm [25]
0,2015,1.25x10 -10 [24.76],1.51x10 -9 [0.21]
1,2016,4.47x10 -10 [6.98],1.95x10 -9 [0.16]
2,2017,4.78x10 -10 [6.51],1.55x10 -9 [0.2]
3,2018,7.1x10 -10 [4.4],1.74x10 -9 [0.18]
4,2019,5.75x10 -10 [5.42],1.58x10 -9 [0.2]
