,,α.M w (GPC),α.M n (GPC),α.M n (NMR),log K.M w (GPC),log K.M n (GPC),log K.M n (NMR),R 2.M w (GPC),R 2.M n (GPC),R 2.M n (NMR)
0,G-1,0.69,0.89,0.67,- 7.90,- 7.32,- 8.04,0.994,0.993,0.983
1,G-2,0.72,0.76,0.65,- 7.74,- 7.69,- 8.04,0.983,0.986,0.979
2,average,0.70 ± 0.02,0.83 ± 0.07,0.66 ± 0.01,- 7.82 ± 0.08,- 7.51 ± 0.19,- 8.04 ± 0.00,,,
3,kraft (Fr1 - Fr9),0.59,,,- 8.21,,,0.969,,
