,0,1,2,3,4
0,M w a (D),D b (cm 2 sec -1 ),R Stokes c (Å) b,V Stokes d (Å 3 ) c,ρ Stokes e (D/Å 3 ) d
1,2500,5.0 x 10 -6,8.1,"2,200",1.1
2,4000,3.6 x 10 -6,11,"5,600",0.72
3,13000,2.2 x 10 -6,18,"24,000",0.53
4,35000,2.0 x10 -6,21,"59,000",0.90
5,50000,1.6 x 10 -6,26,"74,000",0.68
6,200000,8.9 x 10 -7,46,"410,000",0.49
7,900000,2.8 x 10 -7,140,"11,500,000",0.078
