,,M n (GPC) g mol - 1,M w (GPC) g mol - 1,Dispersity (GPC),M D (500 MHz) g mol - 1,M D (60 MHz) g mol - 1
0,a PMMA,18000,45000,2.50,22000,37000
1,b PS,10000,16700,1.67,13000,7600
2,PEG,5100,5500,1.08,5500,5400
