,0,1,2,3,4,5,6
0,PMMA,Benzene,0.00848,0.733,0.00745,0.76,8
1,PMMA,Chloroform,0.00517,0.771,0.00581,0.79,8
2,PMMA,THF,0.01061,0.695,0.0104,0.697,8
