,0,1,2,3
0,"Table 2. Self-diffusion coef fi cients of water, HA and BSA molecules in HA - D 2 O, BSA - D 2 O and HA - BSA - D 2 O systems","Table 2. Self-diffusion coef fi cients of water, HA and BSA molecules in HA - D 2 O, BSA - D 2 O and HA - BSA - D 2 O systems","Table 2. Self-diffusion coef fi cients of water, HA and BSA molecules in HA - D 2 O, BSA - D 2 O and HA - BSA - D 2 O systems","Table 2. Self-diffusion coef fi cients of water, HA and BSA molecules in HA - D 2 O, BSA - D 2 O and HA - BSA - D 2 O systems"
1,System studied,,30  C,45  C
2,4wt% of HA in D 2 O,"D HA , m 2 /s D water , m 2 /s",< 10 -13 (1.55  0.014)  10 -9,~10 -13 (2.3  0.05)  10 -9
3,4wt% of BSA in D 2 O,"D BSA , m 2 /s D water , m 2 /s",(4.8  0.12)  10 -11 (1.8  0.05)  10 -9,(1.1  0.02)  10 -10 (2.6  0.1)  10 -9
4,4wt% of BSA and 0.25% of HA in D 2 O,"D BSA , m 2 /s D water , m 2 /s",(3.1  0.19) 10 -11 (1.38  0.3) 10 -9,(5  0.06)  10 -11 (2.5  0.17) 10 -9
5,4wt% of BSA and 0.75% of HA in D 2 O,"D BSA , m 2 /s D water , m 2 /s",- (1.7  0.27) 10 -9,(3.2  0.07)  10 -11 (2.1  0.17) 10 -9
