,Solvent,Standard equation,δ a),d F b)
0,D 2 O,M w = 1.283 × 10 8 D PNAM - 2.088,0.48,2.09
1,CDCl 3,M w = 5.154 × 10 8 D PNAM - 2.096,0.48,2.10
2,"PBS, pH7.4",M w = 1.754 × 10 8 D PNAM - 2.223,0.45,2.22
3,D 2 O/MeOD80/20,M w = 5.939 × 10 8 D PNAM - 2.464,0.41,2.46
