,sample ID,M p (kg/mol),PDI,M p (kg/mol),PDI
0,PMMA,4.9,1.10,174,1.04
1,PMMA,12.7,1.03,519,1.03
2,PMMA,28.8,1.03,772,1.03
3,PMMA,55.9,1.03,1520,1.08
4,PEO,4.1,1.05,8.5,1.02
5,PEO,18.3,1.02,32.5,1.02
6,PEO,114,1.04,,
