,Sample,lg( b ′ /m 2 s - 1 ),v
0,Toluene,- 8.11,0.43
1,Benzene,- 7.91,0.48
2,Acetone,- 7.74,0.44
3,THF,- 8.02,0.43
4,D × η corrected,- 8.27,0.45
