,0,1,2,3,4,5
0,std,M w SEC,D ( 10 - 10 m 2 s - 1 ),M w PGSE,PGSE accuracy b (%),M w MALDI
1,A,4540,2.88 ( 0.06 c,4400 ( 200 c,3.1,3690; 3750 d
2,B,40300,0.89 ( 0.02,38000 ( 2 000,5.7,40000 e
3,C,106000,0.50 ( 0.01,107000 ( 4 000,1.0,102000 e
