,0,1
0,12. Poly(a-methylstyrene) in cyc1ohexane. . . . . . . . .,636
1,13. Poly(a-methylstyrene) in toluene. . . . . . . . . . . . .,637
2,List of Figures,
3,"1. Intrinsic ciscosity of 1,4-polybutadiene in cyclo- hexane. .......... .......................",622
4,"2. Second virial coefficient of 1,4-polyisoprene in cy- clohexane. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",624
5,3. Radius of gyration of polystyrene in tetrahydro- furan... ..... ..................... .......,635
6,4. Radius of gyration of poly(a-methylstyrene) in toluene . . . . . . . . . . . . . . . • . . . . . . . . . . . . . . . . . .,638
