,sample type,M n (103g mol-') (manufacturer),n;rW (io3g mol-') (manufacturer),"M"" (io3g mol-') (DOSY)",G W (io3g mol-') (DOSY)
0,PE0200K,47.0,204,46,180
1,PE0120K,36.5,123,35,110
