,0,1
0,NMR,Nuclear magnetic resonance spectroscopy
1,DNP,Dynamic nuclear polarization
2,CP/MAS,Cross-polarization magic-angle spinning
3,RDC,Residual dipolar coupling
4,DOSY,Diffusion-ordered spectroscopy
