,Id,M n a,M w a,Đ a,M n b,M w c,Đ d,10 11 × D c (m 2 s - 1 )
0,1,6500,6800,1.03,6800,6780,1.00,1.5042
1,2,8450,8600,1.02,8600,8620,1.01,1.3048
2,3,9400,9700,1.04,9800,10 100,1.03,1.1846
3,4,10 200,10 600,1.03,9400,10 100,1.07,1.1840
