,sample type,"Mj, (103 g mol-1) (103 g (manufacturer)",Mw mol-1) (manufacturer),M- (103 g mol-1) (DOSY),Mw (103 g mol-1) (DOSY)
0,PEO200K,4X0,204,46,180
1,PEO120K,36.5,123,35,110
