solvent,polymer,c_value,v_value,source_paper,table_name
benzene-d6,polystyrene,-5.931814138253839,-0.899,2019 - Quantitative Studies of Block Copolymers and Their Containing Homopolymer Components by Diffusion Ordered Spectroscopy,table1
benzene-d6,poly(methyl methacrylate),-7.54515513999149,-0.536,2019 - Quantitative Studies of Block Copolymers and Their Containing Homopolymer Components by Diffusion Ordered Spectroscopy,table1
benzene-d6,poly(methyl methacrylate),-5.872895201635193,-0.907,2019 - Quantitative Studies of Block Copolymers and Their Containing Homopolymer Components by Diffusion Ordered Spectroscopy,table1
benzene-d6,polyimide,-7.388276691992658,-0.582,2019 - Quantitative Studies of Block Copolymers and Their Containing Homopolymer Components by Diffusion Ordered Spectroscopy,table1
benzene-d6,polyimide,-5.0996328713435295,-1.081,2019 - Quantitative Studies of Block Copolymers and Their Containing Homopolymer Components by Diffusion Ordered Spectroscopy,table1
chloroform,polystyrene,-7.2686,0.6512,2020 - Application of 1H DOSY NMR in Measurement of Polystyrene Molecular Weights,table1
chloroform,polystyrene,-7.2686,0.6512,2020 - Application of 1H DOSY NMR in Measurement of Polystyrene Molecular Weights,table2
chloroform,polystyrene,-7.2686,0.6512,2020 - Application of 1H DOSY NMR in Measurement of Polystyrene Molecular Weights,table3
benzene,polystyrene,-7.7,0.54,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table1
toluene,poly(methyl acrylate),-7.72,0.5,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table1
chloroform-d,poly(methyl methacrylate),-7.53,0.56,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table1
deuterium oxide,dextran,-8.14,0.47,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table1
deuterium oxide,pullulane,-8.2,0.49,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table1
deuterium oxide,polyethylene oxide,-8.39,0.47,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table1
benzene-d6,polystyrene,-7.94,0.49,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table2
chloroform-d,polystyrene,-7.97,0.46,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table2
acetone,polystyrene,-7.78,0.43,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table2
tetrahydrofuran-d8,polystyrene,-8.07,0.42,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table2
deuterium oxide,polyethylene oxide,-8.23,0.49,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table3
methanol-d4,polyethylene oxide,-8.06,0.45,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table3
acetone,polyethylene oxide,-7.94,0.41,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table3
tetrahydrofuran-d8,polyethylene oxide,-7.94,0.46,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table3
chloroform-d,polyethylene oxide,-8.04,0.45,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table3
acetonitrile-d3,polyethylene oxide,-7.88,0.44,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly  Universal Calibration,table3
chloroform-d,polystyrene,-7.94,0.49,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly Universal Calibration SI,table4
deuterium oxide,polyethylene oxide,-8.327,0.4466,2021 - Solvent‐Independent Molecular Weight Determination of Polymers Based on a Truly Universal Calibration SI,table6
toluene,poly(methyl methacrylate),-8.11,0.43,2023 - A fast and efficient way of obtaining the average molecular weight of block copolymers via DOSY,table1
