,Author,TiC,KI (1O-3 mL/g),a,No. of samples,MW range,MW method,Ref.
0,McCormick,25,9.77,0.73,12,11400-1.06X 10 6,sedimentation velocity,12
1,Berry,12,,,9,20 000-4.4X 10 6,light scattering,13
2,"Rossi et a/, I",25,,,11,660-34500,cryoscopy,14
3,Yamamoto et al.,30,8.81,0.75,5,280000-165000,light scattering,S
4,Papazian,25,8.5,0.74,5,49000-242000,light scattering,15
5,Oth and Desreux,25,7.50,0.75,7,115 000-2.8X 10 6,light scattering,16
6,Bawnetal.,25,13.4,0.71,5,72 000-1.5X10 6,osmotic pressure,9
7,Nakata,35,12.6,0.71,15,33 000-3.2X 10 6,light scattering,17
