,M w / M w [g mol - 1 ] Manufacturer,Composition (weighed),Composition A / B (DOSY) Equation (4),D 1 / D 2 [ × 10 - 10 m 2 s - 1 ] (DOSY) Equation (4),M w1 / M w2 [g mol - 1 ] (DOSY) Equation (2)
0,1920/27500,0.25/0.75,0.26/0.74,4.67/1.15,2140/26 980
1,1920/27500,0.33/0.67,0.33/0.67,4.63/1.17,2170/26 250
2,1920/27500,0.49/0.51,0.49/0.51,4.72/1.20,2100/25 060
3,1920/27500,0.67/0.33,0.65/0.35,4.90/1.27,1960/22 520
4,1920/27500,0.75/0.25,0.75/0.25,4.86/1.24,1990/23 600
5,1920/51500,0.51/0.49,0.50/0.50,4.71/0.77,2100/44 640
6,5620/51500,0.49/0.51,0.51/0.49,2.69/0.74,5820/46 530
7,12500/51500,0.49/0.51,0.50/0.50,1.77/0.74,12 330/46 630
8,27500/51500,0.49/0.51,0.44/0.56,1.13/0.70,27 730/49 650
